name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
rosalee.fleming	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	-25	-25	-26	-26	-26	-24	-26	-26	-26	 
maureen.mcvicker	36	36	36	36	36	36	36	36	36	36	36	36	 	 	 	 	 	 	 	 	 	 	 	 	-16	-16	-16	-28	-28	-28	-28	-28	-28	-28	 	 	 	 	 	 	 	 	 	 	 	21	21	21	21	21	21	21	21	21	21	21	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
vince.kaminski	17	17	17	17	17	17	17	17	17	17	17	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29
sgovenar@govadv.com	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-40	-40	-47	-47	-47	-47	-47	-47	-47	-47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
drew.fossum	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	31	31	31	31	31	31	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	-43	 	-41	-41	-41	-41	-41	-41	-41	-41	-41	-41	-41	-40	-40	-40	-39	-39	-39	-36	-36	-36	-36	-36
chris.germany	 	 	 	 	 	 	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	 	 	 	 	 	 	 	 	 	 	 	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	 	 	 	 	 	 	 	 	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
john.arnold	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-50	-50	-50	-50	-50	-50	-50	-50	-22	-22	-21	-21	-21	-21	-21	-21
dan.hyvl	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	12	12	11	11	11	11	11	11	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	 	 	 	 	 	 	 	 	 	 	 	 	 
sally.beck	 	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	 	 	 	 	 	 	 	 	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54	-54	-54
mike.grigsby	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-50	-50	-50	-50	-50	-50	-50	-50
