name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
 Fredric March	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-33	 	 	 	 	 	 	-35	 	 	 	 	 	-7	 	 	 	 	 	13	18
 Laurence Harvey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Claude Rains	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	46	 	 	 	 	 	 	 	 	 	 	 	20	 	 	 	 	 	 	 	 
Helena Bonham Carter	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 	 	 	 	 	 	 
 Mary McDonnell	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-35	 	 	 	 	 
Anna Kendrick	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-34	 	 	 	 	 
 Roberto Benigni	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Deborah Kerr	 	 	 	 	-3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65	 	 
Burt Lancaster	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-18	 	-52	-52	-52	 	 	 	-66	-66	-22	 	 	-63
 William Hurt	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-53	 	 	 	 	 
 Eleanor Parker	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	-4	 	 	 	 	 	 	 	 	 	 	 	 	-47	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Marion Cotillard	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Gregory Peck	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	 	 	 	 	12	6	 	 	-56	 	 	 	 	 
 Yul Brynner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	63	61	-27
 Glenn Close	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-42	-37	 	 	 	 	 	 	 	 	 
 King Vidor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	 	 	 	 	 
 Robert Montgomery	 	 	 	 	-10	 	 	 	 	 	 	 	 	 	 	 	 	 	23	20	 	-26	 	-3	 	38	 	38	 	33	 	 	 	-43	 	 	-40	 	 	 	 	 	 	-5	 	 	 	 	 	 
 Kathryn Bigelow	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	36	 	 	 	 	 	 	 	 	 	 	 	 
Gena Rowlands	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	 	 
 Joel Grey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-9	-9	 	 	-38	 
Arthur Hunnicutt	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	55	 	 	 	 	 	-40	-40	-23	 	 	-2	 	-48	 	 	 	 	 
 Madeline Kahn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	 	 	 	 	 	 	 	 	 	 
 Dean Stockwell	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	28	 	-39	 	 	 	 	 	 	 	 	 	 	 
 Burt Reynolds	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Red Buttons	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	 	 	 	 	56	 	 	19	 	 	 	 	 	 	 	 	 	14	 	 	 	-49
 Jack Albertson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 
Debbie Reynolds	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	 	 	 	1	-2	 	32	32	 	 	 	 	 
 Joseph L. Mankiewicz	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	 	 	-8	 	-27	 	19	12	 	 	 	 	 	 	 
 John Ireland	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54	 	 	-51	 	 	43	 	 	-65	 	 	-32	 
Judy Holliday	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	6	 	 	 	 	 	 	 	 	 	 	 
Carol Reed	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	24	24	 	 	 	 	 	 	 	 	 	 	33	 	 	 	-34	 	 	 	-14	 	 	 	 	2	 
 Julie Andrews	 	 	 	 	 	 	 	 	-9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anne Revere	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	 	 	 	 	27	27	27	27	 	 	37	 	 	 	 	 	 	 	 	 	 
 Teresa Wright	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	10	10	 	 	5	 	 	 	 	-59	 	 	 	 	 	 	 	 	 
Gig Young	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	32	 	 	-50	 	 	 	 	 	 	 	 	 	-19	-19	 	 	 	 	2	-49	 	 
 Jessica Tandy	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 
Jeanne Crain	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 
